iter	Passed	Remaining
0	101	10035
1	103	5064
2	105	3399
3	106	2553
4	108	2052
5	110	1735
6	112	1490
7	114	1315
8	116	1182
9	119	1072
10	121	979
11	122	899
12	125	839
13	126	774
14	128	726
15	130	686
16	131	643
17	132	604
18	134	572
19	134	539
20	136	511
21	137	489
22	139	466
23	139	442
24	140	422
25	142	405
26	144	391
27	146	376
28	148	363
29	150	350
30	152	339
31	154	327
32	155	316
33	157	305
34	158	294
35	160	284
36	161	275
37	163	266
38	164	257
39	165	248
40	167	240
41	167	231
42	169	225
43	171	218
44	172	211
45	174	204
46	175	197
47	176	191
48	177	184
49	178	178
50	179	172
51	180	167
52	182	161
53	183	155
54	183	150
55	184	145
56	185	140
57	186	135
58	187	130
59	188	125
60	188	120
61	189	116
62	190	112
63	191	107
64	192	103
65	193	99
66	194	95
67	194	91
68	195	87
69	196	84
70	197	80
71	197	76
72	198	73
73	199	69
74	199	66
75	200	63
76	201	60
77	201	56
78	202	53
79	203	50
80	203	47
81	204	44
82	205	42
83	206	39
84	206	36
85	207	33
86	208	31
87	208	28
88	209	25
89	209	23
90	210	20
91	211	18
92	211	15
93	212	13
94	212	11
95	213	8
96	214	6
97	214	4
98	215	2
99	216	0
