iter	Passed	Remaining
0	0	954
1	1	910
2	2	821
3	3	784
4	3	749
5	4	716
6	4	707
7	5	701
8	6	712
9	7	712
10	7	705
11	8	689
12	8	680
13	9	677
14	10	672
15	10	666
16	11	656
17	12	659
18	12	664
19	13	671
20	14	671
21	15	667
22	15	665
23	16	662
24	16	659
25	17	657
26	18	654
27	18	651
28	19	652
29	20	650
30	20	648
31	21	646
32	22	644
33	22	641
34	23	639
35	23	636
36	24	633
37	24	632
38	25	634
39	26	633
40	27	632
41	27	631
42	28	628
43	28	627
44	29	625
45	30	624
46	30	622
47	31	621
48	31	620
49	32	619
50	33	618
51	33	616
52	34	614
53	34	612
54	35	610
55	36	608
56	36	608
57	37	606
58	38	606
59	38	605
60	39	604
61	40	611
62	41	621
63	42	620
64	43	618
65	43	617
66	44	617
67	45	617
68	45	617
69	46	616
70	47	615
71	47	614
72	48	612
73	48	611
74	49	609
75	50	608
76	50	608
77	51	608
78	52	607
79	52	605
80	53	603
81	53	602
82	54	601
83	55	600
84	55	599
85	56	597
86	56	596
87	57	596
88	58	595
89	58	593
90	59	592
91	59	591
92	60	590
93	61	589
94	61	587
95	62	586
96	62	585
97	63	585
98	64	583
99	64	583
100	65	581
101	66	581
102	66	580
103	67	579
104	67	578
105	69	583
106	69	582
107	70	582
108	71	582
109	71	582
110	73	587
111	74	587
112	74	586
113	75	586
114	76	586
115	76	586
116	77	586
117	78	585
118	78	584
119	79	583
120	80	583
121	80	581
122	81	580
123	82	579
124	82	579
125	83	578
126	84	579
127	85	579
128	86	583
129	87	582
130	87	581
131	88	580
132	89	580
133	89	581
134	90	580
135	91	579
136	91	578
137	92	577
138	92	576
139	93	575
140	94	574
141	95	574
142	95	572
143	96	571
144	96	570
145	97	569
146	98	570
147	98	569
148	99	567
149	99	566
150	100	565
151	100	562
152	101	562
153	102	561
154	102	560
155	103	558
156	103	557
157	104	555
158	104	554
159	105	553
160	105	550
161	105	548
162	106	546
163	106	544
164	107	543
165	107	542
166	108	541
167	109	540
168	109	539
169	110	538
170	110	536
171	111	534
172	111	533
173	111	531
174	112	529
175	112	529
176	113	528
177	114	527
178	114	527
179	115	526
180	115	524
181	116	523
182	117	522
183	117	521
184	117	519
185	118	517
186	118	516
187	119	515
188	119	514
189	120	513
190	121	513
191	121	512
192	122	510
193	122	509
194	122	507
195	123	505
196	123	503
197	124	502
198	124	500
199	124	498
200	125	497
201	125	496
